id,source,title,content,authors,published_date,url,type,language,stars,collected_date,status,quality_score,cleaning_timestamp
902,GitHub,gprMax,gprMax is open source software that simulates electromagnetic wave propagation using the Finite-Difference Time-Domain FDTD method for numerical modelling of Ground Penetrating Radar GPR,gprMax,2015-09-30,https://github.com/gprMax/gprMax,code,Python,746,2025-10-10,raw,0.6,2025-10-10 22:07:45
904,GitHub,ceviche,shrimp Electromagnetic Simulation + Automatic Differentiation,fancompute,2019-05-24,https://github.com/fancompute/ceviche,code,Python,375,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
905,GitHub,tidy3d,Fast electromagnetic solver FDTD at scale,flexcompute,2021-08-02,https://github.com/flexcompute/tidy3d,code,Python,281,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
909,GitHub,fdtd3d,fdtd3d is an open source 1D 2D 3D FDTD electromagnetics solver with MPI OpenMP and CUDA support for x64 ARM ARM64 RISC-V PowerPC Wasm architectures,zer011b,2015-09-22,https://github.com/zer011b/fdtd3d,code,C++,143,2025-10-10,raw,0.55,2025-10-10 22:07:45
910,GitHub,maxwell-simulation,Interactive web-based simulator of electromagnetic waves,RobinKa,2019-10-16,https://github.com/RobinKa/maxwell-simulation,code,TypeScript,122,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
911,GitHub,xnec2c,Xnec2c is a high-performance multi-threaded electromagnetic simulation package to model antenna near- and far-field radiation patterns for Linux and UNIX operating systems,KJ7LNW,2021-10-31,https://github.com/KJ7LNW/xnec2c,code,C,108,2025-10-10,raw,0.55,2025-10-10 22:07:45
913,GitHub,pycharge,Differentiable electromagnetics simulation library for moving point charges built on JAX,MatthewFilipovich,2021-07-25,https://github.com/MatthewFilipovich/pycharge,code,Python,74,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
916,GitHub,python-meep-utils,<NEEDS MAJOR UPDATE> Simulations of electromagnetic waves - easier scripting postprocessing and field export,FilipDominec,2015-02-11,https://github.com/FilipDominec/python-meep-utils,code,Python,57,2025-10-10,raw,0.85,2025-10-10 22:07:45
917,GitHub,Computational_Electromagnetics,Electrostatic and Electromagnetic wave propagation simulations with FEM EM field TE TM modes of a circular waveguide scattering of a plane wave from a perfect electric conductor cylinder using PML,konstantd,2021-06-03,https://github.com/konstantd/Computational_Electromagnetics,code,MATLAB,50,2025-10-10,raw,0.8999999999999999,2025-10-10 22:07:45
918,GitHub,DESIGN_AND_SIMULATION_OF_BRANCH_LINE_COUPLER_USING_HFSS,Strong problem-solving abilities coupled with effective communication skills enabling successful collaboration with cross-functional teams to achieve project objectives Skilled in analyzing electromagnetic behavior optimizing performance parameters and ensuring compliance with project specifications,ReenaS25,2024-03-04,https://github.com/ReenaS25/DESIGN_AND_SIMULATION_OF_BRANCH_LINE_COUPLER_USING_HFSS,code,,50,2025-10-10,raw,0.85,2025-10-10 22:07:45
919,GitHub,MESTI m,2D multi-source electromagnetic simulations in frequency domain implementing the augmented partial factorization APF and other methods,complexphoton,2022-03-26,https://github.com/complexphoton/MESTI.m,code,MATLAB,43,2025-10-10,raw,0.55,2025-10-10 22:07:45
921,GitHub,6G-simulation-platform,This simulation platform is presented in An Open Platform for Simulating the Physical Layer of 6G Communication Systems with Multiple Intelligent Surfaces In this paper we develop an open simulation platform aimed at modeling the physical-layer electromagnetic coupling and propagation between RIS pairs We present the platform by initially designing a basic unit cell and then proceeding to progressively model and simulate multiple and larger RISs The platform can be used for producing verifiable stochastic models for wireless communication in multi- RIS deployments and its code is freely available to the public,alexpapad95,2022-07-07,https://github.com/alexpapad95/6G-simulation-platform,code,MATLAB,35,2025-10-10,raw,0.85,2025-10-10 22:07:45
922,GitHub,LadyBuddy-A-woman-safety-app,A complete women s safety app with various advanced features such as emergency SOS Software simulation of electromagnetic waves detection using the magnetometer sensor Women s news Siren Alarm etc,Moheeeetgupta,2021-06-14,https://github.com/Moheeeetgupta/LadyBuddy-A-woman-safety-app,code,Java,31,2025-10-10,raw,0.85,2025-10-10 22:07:45
923,GitHub,Rectangular-microstrip-patch-antenna-using-HFSS,A rectangular microstrip patch antenna is a type of antenna with a rectangular metallic patch printed on a dielectric substrate HFSS or High Frequency Structural Simulator is a powerful software tool for designing and analyzing such antennas providing accurate simulations of their electromagnetic performance,spkeerthana2105,2024-03-05,https://github.com/spkeerthana2105/Rectangular-microstrip-patch-antenna-using-HFSS,code,,26,2025-10-10,raw,0.85,2025-10-10 22:07:45
924,GitHub,fdfd_suite,This repository contains Matlab programs that can efficiently perform a comprehensive list of 2D electromagnetic simulations based on the finite difference frequency domain FDFD technique,YuJerryShi,2018-02-19,https://github.com/YuJerryShi/fdfd_suite,code,Matlab,25,2025-10-10,raw,0.85,2025-10-10 22:07:45
926,GitHub,MatRCWA,An electromagnetic simulation tool programmed in Matlab by using the method Rigorous Coupled-Wave analysis RCWA,insaliujia,2015-11-19,https://github.com/insaliujia/MatRCWA,code,Matlab,19,2025-10-10,raw,0.55,2025-10-10 22:07:45
927,GitHub,apollo,Enabling 3D electromagnetics simulation in MOOSE using the MFEM FE library,aurora-multiphysics,2021-03-17,https://github.com/aurora-multiphysics/apollo,code,C,19,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
928,GitHub,heagy-2018-AEM,Notebooks and python scripts to reproduce the figures shown in Open source software for simulations and inversions of airborne electromagnetic data submitted to the AEM 2018 workshop,simpeg-research,2018-03-09,https://github.com/simpeg-research/heagy-2018-AEM,code,Jupyter Notebook,19,2025-10-10,raw,0.85,2025-10-10 22:07:45
930,GitHub,TMatrixOpt,An electromagnetic solver capable of simulating and optimizing 1D thin-layer structures via the semi-analytical transfer matrix method For example one can simulate and optimize broadband distributed Bragg reflectors anti-reflection coatings optical bandpass filters and photovoltaic devices,smhooten,2020-12-17,https://github.com/smhooten/TMatrixOpt,code,Python,18,2025-10-10,raw,0.85,2025-10-10 22:07:45
931,GitHub,simpegEMIP,Forward simulation and inversion of induced polarization effects in electromagnetic data,sgkang,2017-03-13,https://github.com/sgkang/simpegEMIP,code,Jupyter Notebook,17,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
932,GitHub,VoxScatter,Volume integral equation solver for electromagnetic scattering simulations,samuelpgroth,2019-01-09,https://github.com/samuelpgroth/VoxScatter,code,MATLAB,15,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
934,GitHub,pytheas,Python Electromagnetic Analysis and Simulation with the Finite Element Method,benvial,2019-02-07,https://github.com/benvial/pytheas,code,Prolog,14,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
935,GitHub,FDTD jl,An implementation of the Finite Difference Time Domain FDTD method in 2D and 3D for Electromagnetic Simulation in julia,xtalax,2019-09-09,https://github.com/xtalax/FDTD.jl,code,Julia,13,2025-10-10,raw,0.55,2025-10-10 22:07:45
936,GitHub,Veronica-Nelson-s-FYP,This program contains an FDTD algorithm adopted from A Z Elsherbeni The finite-difference time-domain method for electromagnetics with MATLAB simulations Second edition Edison New Jersey SciTech Publishing 2015 to simulate the propagation of VLF waves in the Earth-Ionosphere waveguide,vlnelson1,2022-05-10,https://github.com/vlnelson1/Veronica-Nelson-s-FYP,code,MATLAB,13,2025-10-10,raw,0.85,2025-10-10 22:07:45
937,GitHub,EMT_Benchmarks,Test cases for the simulation of electromagnetic transients,JeanMahseredjian,2018-07-13,https://github.com/JeanMahseredjian/EMT_Benchmarks,code,,11,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
938,GitHub,DMA_Model,Simulation code for paper on Electromagnetic Based Communication Model for Dynamic Metasurface Antennas,RobinJW,2022-03-10,https://github.com/RobinJW/DMA_Model,code,MATLAB,11,2025-10-10,raw,0.55,2025-10-10 22:07:45
939,GitHub,ion-trap-qsim,Ion Trap QSim is a package for simulation of quantum and classical dynamics of trapped ion chains in interaction with lasers and trap electromagnetic fields,HaeffnerLab,2015-02-24,https://github.com/HaeffnerLab/ion-trap-qsim,code,Jupyter Notebook,11,2025-10-10,raw,0.85,2025-10-10 22:07:45
940,GitHub,Metasurface-Modelling-DL,A deep learning model for predicting reflection S11 and transmission S21 coefficients of metasurfaces based on their geometric and material parameters This project provides fast predictions without requiring full electromagnetic simulations,elanovin,2025-02-25,https://github.com/elanovin/Metasurface-Modelling-DL,code,Python,11,2025-10-10,raw,0.85,2025-10-10 22:07:45
941,GitHub,EMSimulation,Software packages for electromagnetic simulations DDA and FDTD,ToniaDemchuk,2016-10-23,https://github.com/ToniaDemchuk/EMSimulation,code,C#,10,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
942,GitHub,GEMM3D,this program allows not only the simulation of 3D Magnetotelluric responses circular loop and electromagnetic dipoles using the Vector Finite Elements for both real and complex conductivity as well as the calculation of the sensitivity matrix by the Adjoint States Method,Barriga-Nunes,2019-02-12,https://github.com/Barriga-Nunes/GEMM3D,code,,10,2025-10-10,raw,0.55,2025-10-10 22:07:45
943,GitHub,SMP_Passivity_Enforcement,Author Nathan Totorica Date 5/14/2021 Singularity Matrix Pertubation SMP This code was written for a class project in the course entitled ECE 504 ST Passive Electromagnetic Systems taught in Spring 2021 by Dr Ata Zadehgol at the University of Idaho in Moscow This code was developed in part based on the code developed by Jennifer Houle in ECE 504 ST Modern Circuit Synthesis Algorithms taught in Spring 2020 by Dr Ata Zadehgol Jennifer s code is available online at https //github com/JenniferEHoule/Circuit_Synthesis Overview Singular Matrix Perturbation SMP as introduced in 11 is a passivity enforcement algorithm for use on fitted models This robust method is fast computationally inexpensive and accurate in enforcing passivity This implementation using Python can easily be used with Vector Fitting algorithm implemented in 12 Example cases to demonstrate passivity enforcmment were taken from 7 15 as well as custom examples designed in simulation software based off of multiport circuit synthesis as described in 6 I/O and Flow Description - Instructions for input and output and flow description can be found in flow_diagram pdf Files - SMP py Singularity matrix perturbation implementation of 11 - s_compare py Compare ADS simulated S matrices Calculate RMS error and plot - eig_plot py Plotting functions Eigenvalue plots based off of plot py in 12 - smp_ex py Example of how to pull sp file in parse parameters send to vector fitting enforce passivity and generate new passive circuit Imported from 12 - Ex2_y py - vectfit3 py - intercheig py - rot py - pass_check py - fitcalc py - FRPY py - intercheig py - violextrema py - plots py - quadprog py - pr2ss py - utils py Licensing GPL-3 0 License In addition to licensing Embedding any of or parts from the routines of the Matrix Fitting Toolbox in a commercial software or a software requiring licensing is strictly prohibited This applies to all routines see Section 2 1 If the code is used in a scientific work then reference should me made as follows VFdriver m and/or vectfit3 m References 1 2 3 RPdriver m and/or FRPY m applied to Y-parameters 8 9 References 1 B Gustavsen and A Semlyen Rational approximation of frequency domain responses by Vector Fitting IEEE Trans Power Delivery vol 14 no 3 pp 1052-1061 July 1999 2 B Gustavsen Improving the pole relocating properties of vector fitting IEEE Trans Power Delivery vol 21 no 3 pp 1587-1592 July 2006 3 D Deschrijver M Mrozowski T Dhaene and D De Zutter Macromodeling of Multiport Systems Using a Fast Implementation of the Vector Fitting Method IEEE Microwave and Wireless Components Letters vol 18 no 6 pp 383-385 June 2008 4 B Gustavsen VFIT3 The Vector Fitting Website March 20 2013 Accessed on Jan 21 2020 Online Available https //www sintef no/projectweb/vectfit/downloads/vfit3/ 5 A Zadehgol A semi-analytic and cellular approach to rational system characterization through equivalent circuits Wiley IJNM 2015 Online https //doi org/10 1002/jnm 2119 6 V Avula and A Zadehgol A Novel Method for Equivalent Circuit Synthesis from Frequency Response of Multi-port Networks EMC EUR pp 79-84 2016 Online Available //WOS 000392194100012 7 B Gustavsen Matrix Fitting Toolbox The Vector Fitting Website March 20 2013 Accessed on Feb 25 2020 Online Available https //www sintef no/projectweb/vectorfitting/downloads/matrix-fitting-toolbox/ 8 B Gustavsen Fast passivity enforcement for S-parameter models by perturbation of residue matrix eigenvalues IEEE Trans Advanced Packaging vol 33 no 1 pp 257-265 Feb 2010 9 B Gustavsen Fast Passivity Enforcement for Pole-Residue Models by Perturbation of Residue Matrix Eigenvalues IEEE Trans Power Delivery vol 23 no 4 pp 2278-2285 Oct 2008 10 A Semlyen B Gustavsen A Half-Size Singularity Test Matrix for Fast and Reliable Passivity Assessment of Rational Models IEEE Trans Power Delivery vol 24 no 1 pp 345-351 Jan 2009 11 E Medina A Ramirez J Morales and K Sheshyekani Passivity Enforcement of FDNEs via Perturbation of Singularity Test Matrix in IEEE Transactions on Power Delivery vol 35 no 4 pp 1648-1655 Aug 2020 doi 10 1109/TPWRD 2019 2949216 12 Houle Jennifer GitHub May 10 2020 Accessed on February 3 2021 Online Available https //github com/jenniferEhoule/circuit_synthesis,ntotorica,2021-05-14,https://github.com/ntotorica/SMP_Passivity_Enforcement,code,Python,10,2025-10-10,raw,0.85,2025-10-10 22:07:45
944,GitHub,Metalens,Electromagnetic simulations of a focusing metalens,jacobson15p,2019-12-20,https://github.com/jacobson15p/Metalens,code,Python,9,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
945,GitHub,project-diamond,Parallelogram and Trapezoid Tiling Code for Accelerated FDTD electromagnetic wave simulation,biergaizi,2023-06-19,https://github.com/biergaizi/project-diamond,code,C++,9,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
946,GitHub,ScatterPy,T-matrix electromagnetic scattering simulations,TCvanLeth,2019-10-01,https://github.com/TCvanLeth/ScatterPy,code,Python,8,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
947,GitHub,MaxwellNet,A physics driven neural network to perform finite difference frequency domain electromagnetic simulations,carlogigli,2023-01-11,https://github.com/carlogigli/MaxwellNet,code,Jupyter Notebook,8,2025-10-10,raw,0.85,2025-10-10 22:07:45
948,GitHub,kang-2019-3D-aem,Development of 3D time-domain airborne electromagnetic simulation,simpeg-research,2019-02-11,https://github.com/simpeg-research/kang-2019-3D-aem,code,Jupyter Notebook,8,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
949,GitHub,HGCAL_TB2017_WGAN,Precise simulation of electromagnetic calorimeter showers using a Wasserstein Generative Adversarial Network,ThorbenQuast,2019-03-08,https://github.com/ThorbenQuast/HGCAL_TB2017_WGAN,code,Python,8,2025-10-10,raw,0.85,2025-10-10 22:07:45
951,GitHub,maxwellfdfd-ai,Simulation acceleration for the transmittance of electromagnetic waves in 2D slit arrays using deep learning,wonderit,2019-08-16,https://github.com/wonderit/maxwellfdfd-ai,code,Python,7,2025-10-10,raw,0.85,2025-10-10 22:07:45
952,GitHub,hephaestus,Hephaestus is an MFEM-based library to enable configurable FE electromagnetics simulations,aurora-multiphysics,2022-02-02,https://github.com/aurora-multiphysics/hephaestus,code,C++,7,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
953,GitHub,rust-bevy-em-simple,3d electromagnetic field visualisation in rust,alexichepura,2022-03-12,https://github.com/alexichepura/rust-bevy-em-simple,code,Rust,7,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
954,GitHub,laser_bcs,library that implements boundary conditions for arbitrarily shaped laser beams in electromagnetic codes,valenpe7,2017-09-18,https://github.com/valenpe7/laser_bcs,code,C++,7,2025-10-10,raw,0.55,2025-10-10 22:07:45
957,GitHub,ezfdtd,easy-fdtd - yet another FDTD electromagnetic simulation software,emguy,2014-01-04,https://github.com/emguy/ezfdtd,code,C,6,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
959,GitHub,SVTM_Passivity_Enforcement,Passivity Enforcement Author Brian Guiana Date 5/14/2021 This code was written for a class project in the course entitled ECE 504 ST Passive Electromagnetic Systems taught in Spring 2021 by Dr Ata Zadehgol at the University of Idaho in Moscow This code was developed in part based on the code developed by Jennifer Houle in ECE 504 ST Modern Circuit Synthesis Algorithms taught in Spring 2020 by Dr Ata Zadehgol Jennifer s code is available online at https //github com/JenniferEHoule/Circuit_Synthesis Overview - This code implements the passivity enforcement algorithm detailed in 11 - This code uses programs written in 12 in order to get a vector fit state-space model to enforce passivity onto - This code was intended to be able to replace the file RPdriver py in 12 for passivity enforcement Licensing From 7 restrictions on use in addition to licensing >- Embedding any of or parts from the routines of the Matrix Fitting Toolbox in a commercial software or a software requiring licensing is strictly prohibited This applies to all routines see Section 2 1 >- If the code is used in a scientific work then reference should me made as follows > - VFdriver m and/or vectfit3 m References 1 2 3 > - RPdriver m and/or FRPY m applied to Y-parameters 8 9 Files Primary Files 12 was the original creator of each associated file - create_netlist py 12 - passivity_driver py 11 - plots py 12 - utils py 12 - vectfit3 py 12 - VFdriver py 12 Secondary Files - ex4_Y py 4-port example file - input_4_port_ads s4p Input for ex4_y py - netlist sp Output for ex4_y py Inputs - Singular sNp file Vector fitting is applied to this file followed by passivity enforcement Outputs - Singular sp file PSPICE simulation file for use with SPICE simulation software References 1 B Gustavsen and A Semlyen Rational approximation of frequency domain responses by Vector Fitting IEEE Trans Power Delivery vol 14 no 3 pp 1052-1061 July 1999 2 B Gustavsen Improving the pole relocating properties of vector fitting IEEE Trans Power Delivery vol 21 no 3 pp 1587-1592 July 2006 3 D Deschrijver M Mrozowski T Dhaene and D De Zutter Macromodeling of Multiport Systems Using a Fast Implementation of the Vector Fitting Method IEEE Microwave and Wireless Components Letters vol 18 no 6 pp 383-385 June 2008 4 B Gustavsen VFIT3 The Vector Fitting Website March 20 2013 Accessed on Jan 21 2020 Online Available https //www sintef no/projectweb/vectfit/downloads/vfit3/ 5 A Zadehgol A semi-analytic and cellular approach to rational system characterization through equivalent circuits Wiley IJNM 2015 Online https //doi org/10 1002/jnm 2119 6 V Avula and A Zadehgol A Novel Method for Equivalent Circuit Synthesis from Frequency Response of Multi-port Networks EMC EUR pp 79-84 2016 Online Available //WOS 000392194100012 7 B Gustavsen Matrix Fitting Toolbox The Vector Fitting Website March 20 2013 Accessed on Feb 25 2020 Online Available https //www sintef no/projectweb/vectorfitting/downloads/matrix-fitting-toolbox/ 8 B Gustavsen Fast passivity enforcement for S-parameter models by perturbation of residue matrix eigenvalues IEEE Trans Advanced Packaging vol 33 no 1 pp 257-265 Feb 2010 9 B Gustavsen Fast Passivity Enforcement for Pole-Residue Models by Perturbation of Residue Matrix Eigenvalues IEEE Trans Power Delivery vol 23 no 4 pp 2278-2285 Oct 2008 10 A Semlyen B Gustavsen A Half-Size Singularity Test Matrix for Fast and Reliable Passivity Assessment of Rational Models IEEE Trans Power Delivery vol 24 no 1 pp 345-351 Jan 2009 11 E Medina A Ramirez J Morales and K Sheshyekani Passivity Enforcement of FDNEs via Perturbation of Singularity Test Matrix IEEE Trans on Power Del vol 35 no 4 pp 1648-1655 Aug 2020 12 JenniferEHoule Circuit_Synthesis GitHub May 12 2020 Accessed Mar 10 2021 Online Available https //github com/JenniferEHoule/Circuit_Synthesis,bmguiana,2021-05-14,https://github.com/bmguiana/SVTM_Passivity_Enforcement,code,Python,6,2025-10-10,raw,0.85,2025-10-10 22:07:45
960,GitHub,Fields,Visualisation of the electromagnetic field,mlhoutel,2021-05-21,https://github.com/mlhoutel/Fields,code,Python,5,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
962,GitHub,maxwellbloch,A Python package for solving the coupled Maxwell-Bloch equations describing the nonlinear propagation of near-resonant light through thermal quantised systems such as atomic vapours,tpogden,2016-06-09,https://github.com/tpogden/maxwellbloch,code,Python,34,2025-10-10,raw,0.85,2025-10-10 22:07:45
963,GitHub,py-maxwell-fd3d,A functional and efficient python implementation of the 3D version of Maxwell s equations,zhaonat,2022-01-21,https://github.com/zhaonat/py-maxwell-fd3d,code,Jupyter Notebook,28,2025-10-10,raw,0.44999999999999996,2025-10-10 22:07:45
966,GitHub,maxwell,A FEM solver for Maxwell s equations written as a C++ library for Python,AlexPandaBear,2020-10-17,https://github.com/AlexPandaBear/maxwell,code,C++,3,2025-10-10,raw,0.15000000000000002,2025-10-10 22:07:45
